,,,,Disease A,Disease A,,,,,Disease B,,Disease B,,,,,,,,,,,,,,,
Region,Position,Gene,,Patient 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Region_1,0,1,,0.10%,0.17%,0.16%,0.06%,0.08%,0.07%,0.10%,0.11%,0.12%,0.14%,0.18%,0.00%,0.24%,0.00%,0.23%,0.06%,0.00%,0.05%,0.28%,0.05%,0.24%,0.08%,0.07%,0.47%
Region_1,1,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,2,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,3,1,,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,4,1,,0.00%,0.06%,0.00%,0.06%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,5,1,,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,6,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,7,1,,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%
Region_1,8,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%
Region_1,9,1,,0.03%,0.11%,0.05%,0.12%,0.00%,0.00%,0.00%,0.06%,0.03%,0.00%,0.00%,0.11%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%
Region_1,10,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.14%,0.00%,0.06%,0.08%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,11,1,,0.04%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.05%,0.12%,0.08%,0.00%,0.00%
Region_1,12,1,,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.06%,0.00%,0.16%,0.07%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,13,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.03%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,14,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.03%,0.03%,0.00%,0.00%,0.00%,0.08%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.19%
Region_1,15,1,,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%
Region_1,16,1,,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.06%,0.11%,0.00%,0.07%,0.00%,0.06%,0.10%,0.00%,0.00%,0.00%,0.00%,0.08%,0.07%,0.00%
Region_1,17,1,,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%
Region_1,18,1,,0.04%,0.12%,0.11%,0.06%,0.00%,0.00%,0.40%,0.00%,0.03%,0.00%,0.06%,0.17%,0.08%,0.20%,0.00%,0.06%,0.10%,0.00%,0.00%,0.10%,0.12%,0.08%,0.14%,0.00%
Region_1,19,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.12%,0.00%,0.00%,0.00%
Region_1,20,1,,0.07%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.07%,0.00%
Region_1,21,1,,0.07%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.14%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,22,1,,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,23,1,,0.04%,0.12%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.06%,0.00%,0.00%,0.14%,0.00%,0.06%,0.10%,0.00%,0.14%,0.15%,0.00%,0.08%,0.07%,0.00%
Region_1,24,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.05%,0.00%,0.00%,0.00%,0.00%
Region_1,25,1,,0.00%,0.06%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%
Region_1,26,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,27,1,,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.15%,0.06%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%
Region_1,28,1,,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%
Region_1,29,1,,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.12%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%
Region_1,30,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,31,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_1,32,1,,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%
Region_1,33,1,,0.04%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
